Subject:	S203
Project:	glassroutes
Time:	2015-01-20_13-36-25

Matlab_now	Increasing Marker	BoxyTime	Marker	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8
48986.393	0	2669.713	0	2795.000	595.600	97.630	25.410	2294.000	427.500	77.160	13.070	636.400	43.440	13.560	6.114	372.600	100.700	29.720	12.570	
48986.552	0	2669.818	0	2777.000	588.300	97.930	25.550	2291.000	428.300	77.590	13.030	637.500	43.510	13.690	6.041	368.300	100.600	29.540	12.450	
48986.597	0	2669.880	0	2766.000	592.600	97.730	25.170	2275.000	428.300	77.030	12.980	629.600	43.530	13.510	6.032	369.000	101.400	29.700	12.500	
48986.700	0	2669.964	0	2769.000	592.900	97.320	25.310	2296.000	427.600	76.390	13.000	641.400	43.730	13.580	6.002	370.000	101.600	29.380	12.500	
48986.800	0	2670.048	0	2772.000	587.900	97.420	25.450	2301.000	428.500	76.220	13.120	643.900	43.480	13.530	6.070	371.400	101.300	29.420	12.580	
48986.903	0	2670.132	0	2777.000	591.600	97.920	25.610	2298.000	431.100	77.720	13.190	639.000	43.500	13.490	6.114	373.700	101.300	29.750	12.700	
48986.916	0	2670.216	0	2781.000	590.400	97.910	25.650	2278.000	429.600	78.050	13.230	636.300	43.450	13.780	6.096	374.000	101.900	29.920	12.740	
48987.026	0	2670.300	0	2794.000	595.500	99.520	25.750	2304.000	435.000	77.810	13.200	637.300	43.820	13.830	6.147	377.700	103.300	30.330	12.920	
48987.135	0	2670.426	0	2806.000	600.700	99.410	25.660	2319.000	429.200	76.910	12.940	646.000	44.060	13.840	6.133	376.900	103.800	30.200	12.790	
48987.233	0	2670.490	0	2790.000	594.700	96.800	25.470	2304.000	430.300	77.230	13.130	658.400	44.090	13.880	6.168	376.300	102.700	30.040	12.890	
48987.336	0	2670.595	0	2775.000	596.300	96.640	25.530	2278.000	429.800	76.450	13.120	655.600	44.180	13.780	6.275	375.900	102.700	30.190	12.980	
48987.419	0	2670.679	0	2766.000	587.700	97.400	25.500	2306.000	428.500	77.080	13.030	652.500	43.740	13.880	6.285	374.800	102.700	30.320	12.950	
48987.431	0	2670.742	0	2763.000	589.700	97.450	25.480	2295.000	428.800	77.330	13.030	651.500	43.620	13.900	6.233	375.000	103.100	30.470	12.930	
48987.534	0	2670.826	0	2760.000	588.800	97.920	25.600	2305.000	433.900	77.470	13.150	650.400	43.910	13.990	6.218	375.600	104.000	30.650	13.040	
48987.650	0	2670.910	0	2778.000	601.700	98.960	25.630	2300.000	431.000	78.110	13.210	650.200	44.250	14.000	6.240	379.200	104.300	30.560	12.960	
48987.748	0	2670.994	0	2800.000	594.700	99.540	25.930	2315.000	431.700	77.690	13.190	656.300	44.260	13.920	6.259	381.500	104.800	30.630	13.160	
48987.810	0	2671.078	0	2807.000	601.600	99.900	26.030	2311.000	432.800	79.290	13.270	663.100	44.290	13.990	6.339	383.700	105.200	30.890	13.280	
48987.822	0	2671.162	0	2841.000	602.100	99.670	25.790	2311.000	429.700	77.940	13.080	663.400	44.640	14.040	6.334	381.700	104.700	30.990	13.210	
48987.951	0	2671.245	0	2801.000	597.400	98.620	25.810	2297.000	430.000	78.270	13.090	659.100	44.250	14.060	6.331	378.900	104.300	30.920	13.090	
48987.964	0	2671.308	0	2789.000	593.600	98.000	25.360	2296.000	429.900	77.030	13.030	659.700	44.650	14.080	6.317	377.700	104.600	30.630	13.060	
48988.092	0	2671.392	0	2763.000	597.700	98.180	25.440	2306.000	431.200	77.150	13.030	664.100	44.280	14.000	6.300	378.100	104.300	30.580	13.060	
48988.193	0	2671.497	0	2796.000	592.800	97.440	25.560	2314.000	428.300	77.920	13.130	664.700	44.220	13.910	6.307	376.900	104.200	30.680	13.040	
48988.290	0	2671.603	0	2796.000	589.000	98.610	25.840	2292.000	433.000	78.050	13.170	665.400	44.160	13.920	6.316	378.400	104.100	30.680	13.160	
48988.395	0	2671.687	0	2808.000	592.100	99.810	25.880	2293.000	431.300	78.380	13.320	658.300	44.340	13.930	6.297	379.900	103.900	30.940	13.170	
48988.495	0	2671.771	0	2793.000	597.900	100.800	25.880	2314.000	434.000	78.820	13.280	657.800	44.430	14.110	6.279	380.600	105.100	31.150	13.150	
48988.560	0	2671.855	0	2814.000	603.900	100.100	25.880	2313.000	434.000	77.900	13.260	660.600	44.490	14.050	6.270	384.300	105.300	31.030	13.210	
