heart_rate,condition
93,neutral
93,neutral
93,neutral
93,neutral
93,neutral
93,neutral
93,neutral
94,neutral
94,neutral
94,neutral
95,neutral
95,neutral
95,neutral
95,neutral
96,neutral
101,neutral
101,neutral
100,neutral
99,neutral
99,neutral
98,neutral
98,neutral
98,neutral
98,neutral
97,neutral
97,neutral
97,neutral
97,neutral
98,neutral
98,neutral
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
98,positive
99,negative
100,negative
99,negative
99,negative
99,negative
98,negative
98,negative
98,negative
98,negative
97,negative
96,negative
96,negative
95,negative
95,negative
95,negative
100,negative
100,negative
99,negative
98,negative
97,negative
96,negative
96,negative
95,negative
95,negative
94,negative
94,negative
94,negative
95,negative
95,negative
95,negative
97,negative
97,negative
97,negative
96,negative
96,negative
95,negative
95,negative
95,negative
94,negative
94,negative
94,negative
94,negative
95,negative
96,negative
97,negative
104,positive
103,positive
103,positive
102,positive
101,positive
100,positive
100,positive
100,positive
100,positive
100,positive
100,positive
100,positive
99,positive
99,positive
99,positive
96,positive
97,positive
97,positive
98,positive
99,positive
99,positive
98,positive
98,positive
98,positive
98,positive
97,positive
97,positive
96,positive
96,positive
96,positive
106,negative
104,negative
103,negative
101,negative
100,negative
100,negative
100,negative
100,negative
101,negative
102,negative
103,negative
103,negative
102,negative
102,negative
101,negative
105,positive
106,positive
107,positive
109,positive
110,positive
110,positive
109,positive
108,positive
107,positive
106,positive
104,positive
103,positive
102,positive
101,positive
101,positive
101,negative
102,negative
102,negative
102,negative
103,negative
103,negative
103,negative
103,negative
103,negative
104,negative
104,negative
105,negative
105,negative
106,negative
107,negative
102,neutral
102,neutral
102,neutral
102,neutral
102,neutral
101,neutral
100,neutral
100,neutral
100,neutral
101,neutral
101,neutral
101,neutral
102,neutral
103,neutral
104,neutral
105,positive
105,positive
104,positive
104,positive
103,positive
103,positive
102,positive
101,positive
101,positive
100,positive
100,positive
101,positive
101,positive
102,positive
102,positive
106,neutral
106,neutral
105,neutral
104,neutral
103,neutral
102,neutral
102,neutral
101,neutral
101,neutral
101,neutral
101,neutral
101,neutral
100,neutral
100,neutral
100,neutral
103,positive
105,positive
105,positive
106,positive
106,positive
105,positive
105,positive
104,positive
102,positive
101,positive
100,positive
99,positive
98,positive
98,positive
98,positive
95,neutral
95,neutral
95,neutral
94,neutral
93,neutral
93,neutral
92,neutral
93,neutral
93,neutral
94,neutral
95,neutral
95,neutral
96,neutral
96,neutral
96,neutral
108,positive
108,positive
107,positive
106,positive
105,positive
104,positive
104,positive
103,positive
103,positive
103,positive
102,positive
102,positive
102,positive
101,positive
101,positive
101,neutral
100,neutral
100,neutral
100,neutral
101,neutral
101,neutral
102,neutral
103,neutral
103,neutral
102,neutral
101,neutral
101,neutral
100,neutral
100,neutral
100,neutral
102,neutral
102,neutral
102,neutral
103,neutral
104,neutral
105,neutral
105,neutral
106,neutral
107,neutral
108,neutral
109,neutral
109,neutral
109,neutral
108,neutral
107,neutral
101,neutral
101,neutral
100,neutral
99,neutral
98,neutral
98,neutral
98,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,neutral
104,neutral
104,neutral
102,negative
102,negative
102,negative
102,negative
101,negative
101,negative
101,negative
100,negative
100,negative
99,negative
99,negative
99,negative
99,negative
99,negative
98,negative
102,neutral
102,neutral
102,neutral
103,neutral
103,neutral
104,neutral
105,neutral
105,neutral
105,neutral
104,neutral
103,neutral
102,neutral
101,neutral
101,neutral
101,neutral
106,neutral
105,neutral
105,neutral
105,neutral
105,neutral
105,neutral
105,neutral
104,neutral
103,neutral
103,neutral
103,neutral
103,neutral
104,neutral
104,neutral
103,neutral
105,negative
105,negative
105,negative
104,negative
102,negative
100,negative
98,negative
97,negative
96,negative
95,negative
94,negative
93,negative
92,negative
92,negative
92,negative
95,neutral
95,neutral
95,neutral
95,neutral
96,neutral
96,neutral
97,neutral
97,neutral
98,neutral
98,neutral
98,neutral
98,neutral
98,neutral
97,neutral
96,neutral
99,negative
100,negative
101,negative
102,negative
102,negative
102,negative
102,negative
102,negative
100,negative
100,negative
98,negative
97,negative
96,negative
97,negative
97,negative
102,neutral
103,neutral
103,neutral
103,neutral
102,neutral
102,neutral
102,neutral
102,neutral
103,neutral
103,neutral
104,neutral
104,neutral
105,neutral
105,neutral
105,neutral
105,negative
104,negative
102,negative
100,negative
98,negative
96,negative
95,negative
94,negative
94,negative
95,negative
95,negative
96,negative
96,negative
96,negative
96,negative
103,neutral
103,neutral
103,neutral
103,neutral
103,neutral
103,neutral
103,neutral
103,neutral
104,neutral
104,neutral
104,neutral
105,neutral
104,neutral
103,neutral
102,neutral
102,positive
101,positive
101,positive
101,positive
101,positive
102,positive
103,positive
104,positive
104,positive
105,positive
105,positive
104,positive
103,positive
103,positive
102,positive
101,positive
102,positive
103,positive
103,positive
102,positive
100,positive
100,positive
99,positive
98,positive
98,positive
98,positive
99,positive
100,positive
101,positive
102,positive
